TechID,variable,RandD,value-low,value-high
Ele woCCS 2030,Efficiency,too-Low,0,0.2999
Ele woCCS 2030,Efficiency,Low,0.2,0.3
Ele woCCS 2030,Efficiency,Medium,0.25,0.35
Ele woCCS 2030,Efficiency,High,0.3,0.5
Ele woCCS 2030,Efficiency,too-High,0.5001,1
Ele woCCS 2030,LCOE1,too-Low,110.001,999
Ele woCCS 2030,LCOE1,Low,40,110
Ele woCCS 2030,LCOE1,Medium,25,90
Ele woCCS 2030,LCOE1,High,25,60
Ele woCCS 2030,LCOE1,too-High,0,24.999
Liq woCCS 2030,Efficiency,too-Low,0,0.34999
Liq woCCS 2030,Efficiency,Low,0.35,0.45
Liq woCCS 2030,Efficiency,Medium,0.4,0.8
Liq woCCS 2030,Efficiency,High,0.45,0.75
Liq woCCS 2030,Efficiency,too-High,0.75001,1
Liq woCCS 2030,LCOE1,too-Low,90.001,9999
Liq woCCS 2030,LCOE1,Low,25,90
Liq woCCS 2030,LCOE1,Medium,20,75
Liq woCCS 2030,LCOE1,High,20,70
Liq woCCS 2030,LCOE1,too-High,0,19.999
Ele wCCS 2030,CapitalCo,too-Low,1500.001,9999
Ele wCCS 2030,CapitalCo,Low,500,1500
Ele wCCS 2030,CapitalCo,Medium,100,1100
Ele wCCS 2030,CapitalCo,High,50,1100
Ele wCCS 2030,CapitalCo,too-High,0.001,49.999
Liq wCCS 2030,CapitalCo,too-Low,1500.001,9999
Liq wCCS 2030,CapitalCo,Low,500,1500
Liq wCCS 2030,CapitalCo,Medium,100,1100
Liq wCCS 2030,CapitalCo,High,50,1100
Liq wCCS 2030,CapitalCo,too-High,0.001,49.999
Hyd wCCS 2030,CapitalCo,too-Low,1500.001,9999
Hyd wCCS 2030,CapitalCo,Low,500,1500
Hyd wCCS 2030,CapitalCo,Medium,100,1100
Hyd wCCS 2030,CapitalCo,High,50,1100
Hyd wCCS 2030,CapitalCo,too-High,0.001,49.999
